hsk_level,hanzi,pinyin,meaning
4,留,liú,"to leave (behind, a message); to retain; to stay"
4,流利,liúlì,fluent
4,流行,liúxíng,spread; prevalent; be popular
4,旅行,lǚxíng,travel
4,律师,lǜshī,lawyer
4,乱,luàn,disorder; confusion; arbitrarily
4,麻烦,máfan,trouble (someone); troubling; bothersome
4,马虎,mǎhu,careless; sloppy; casual
4,满,mǎn,full; abbreviation for Manchurian
4,毛,máo,hair; fur; feather
4,毛巾,máojīn,towel; washcloth
4,美丽,měilì,beautiful
4,梦,mèng,to dream
4,迷路,mílù,to get lost
4,密码,mìmǎ,password; secret code
4,免费,miǎn fèi,free (of charge); no cost
4,秒,miǎo,second (unit of time or angle)
4,民族,mínzú,nationality; ethnic group
4,母亲,mǔqin,mother
4,目的,mùdì,purpose; aim; goal
4,耐心,nàixīn,to be patient
4,难道,nándào,could it be that ...?; don't tell me
4,难受,nánshòu,feel unwell; to suffer pain
4,内,nèi,inside; inner; internal
4,内容,nèiróng,content; substance; details
4,能力,nénglì,capability; capable; ability
4,年龄,niánlíng,(a person's) age
4,弄,nòng,do; manage; to handle
4,暖和,nuǎnhuo,warm; nice and warm
4,偶尔,ǒu'ěr,occasionally; once in a while; sometimes
4,排队,pái duì,queue; stand in line
4,排列,páiliè,arrange; align; permutation
4,判断,pànduàn,to judge; judgment; to decide
4,陪,péi,accompany; keep company
4,批评,pīpíng,criticize
4,皮肤,pífū,skin
4,脾气,píqi,temperament; disposition; temper
4,篇,piān,sheet; (mw for articles); piece of writing
4,骗,piàn,to cheat; to swindle; deceive
4,乒乓球,pīngpāngqiú,ping pong; table tennis
4,平时,píngshí,ordinarily; in normal times; in peacetime
4,破,pò,broken; damaged; to split
4,葡萄,pútao,grape
4,普遍,pǔbiàn,common; universal; general
4,普通话,pǔtōnghuà,Mandarin (common language)
4,其次,qícì,next; secondly
4,其中,qízhōng,among; in; included among these
4,气候,qìhòu,climate; atmosphere; weather
4,千万,qiānwàn,ten million; be sure to; must
4,签证,qiānzhèng,visa
4,敲,qiāo,knock; blackmail
4,桥,qiáo,bridge
4,巧克力,qiǎokèlì,chocolate
4,亲戚,qīnqi,a relative (i.e. family relation)
4,轻,qīng,light; easy; gentle
4,轻松,qīngsōng,relaxed; gentle; easygoing
4,情况,qíngkuàng,circumstance; state of affairs; situation
4,穷,qióng,poor; exhausted
4,区别,qūbié,difference; distinguish
4,取,qǔ,to take; get; choose
4,全部,quánbù,whole; entire; complete
4,缺点,quēdiǎn,weak point; defect; fault
4,缺少,quēshǎo,to lack; be short of; be deficient in
4,却,què,but; yet; however
4,确实,quèshí,indeed; in truth; reliable
4,然而,rán'ér,however; yet; but
4,热闹,rènao,bustling; lively; busy
4,任何,rènhé,any; whatever; whichever
4,任务,rènwu,a mission; an assignment; a task
4,扔,rēng,to throw; throw away
4,仍然,réngrán,still; yet
4,日记,rìjì,diary
4,入口,rùkǒu,entrance
4,散步,sàn bù,to go for a walk
4,森林,sēnlín,forest
4,沙发,shāfā,sofa
4,伤心,shāngxīn,sad; grieve; brokenhearted
4,商量,shāngliang,consult; talk over; discuss
4,稍微,shāowēi,a little bit; slightly
4,勺子,sháozi,spoon; scoop; ladle
4,社会,shèhuì,society
4,申请,shēnqǐng,apply for; application
4,深,shēn,deep; profound; dark (of colors)
4,甚至,shènzhì,even (to the point of); so much so that
4,生活,shēnghuó,life; livelihood; to live
4,生命,shēngmìng,life
4,生意,shēngyi,business; trade
4,省,shěng,to save; economize; omit
4,剩,shèng,have as remainder; be left over; surplus
4,失败,shībài,be defeated; fail; lose
4,失望,shīwàng,disappointed; lose hope
4,师傅,shīfu,master; qualified worker; teacher
4,十分,shífēn,very; fully; 100%
4,实际,shíjì,actual; reality; practice
4,实在,shízài,honest; in reality; honestly
4,使,shǐ,to use; to make; to cause
4,使用,shǐyòng,to use; employ; apply
4,世纪,shìjì,century
4,是否,shìfǒu,whether (or not); if
4,适合,shìhé,to suit; to fit
4,适应,shìyìng,to suit; to fit; adapt
4,收,shōu,receive; accept; collect
4,收入,shōurù,take in; income; revenue
4,收拾,shōushi,to tidy; put in order; to repair
4,首都,shǒudū,capital (city)
4,首先,shǒuxiān,first (of all); in the first place; firstly
4,受不了,shòu bu liǎo,cannot endure; unbearable; can't stand
4,受到,shòudào,"receive (influence, restriction, etc.); be subjected to"
4,售货员,shòuhuòyuán,salesclerk; shop assistant
4,输,shū,"to transport; to lose (a game, etc.)"
4,熟悉,shúxī,familiar with; know well
4,数量,shùliàng,amount; quantity; number
4,数字,shùzì,number; numeral; figure
4,帅,shuài,handsome; graceful; commander-in-chief
